Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Waterbeach,Cambridgeshire,52.2656,0.191,2004,10-Jan,,
Waterbeach,Cambridgeshire,52.2656,0.191,2005,10-Jan,,
W'BCH,CAMBS,52.666219999999996,-2.1811,2002,10-Jan,,
WCharlt,Devon,50.2697,-3.7556,2006,10-Jan,,
WCharlt,Devon,50.2697,-3.7556,2008,10-Feb,,
WCharlt,Devon,50.2697,-3.7556,2009,10-Feb,,
WCharlt,Devon,50.2697,-3.7556,2010,10-Jan,,
WCharlt,Devon,50.2697,-3.7556,2011,10-Jul,,
WCharlt,Devon,50.2697,-3.7556,2013,19-Oct,,11.2
WCharlt,Devon,50.2697,-3.7556,2014,10-Sep,,13.18
WCharlt,Devon,50.2697,-3.7556,2015,20-Oct,,
WCharlt,Devon,50.2697,-3.7556,2016,13-Oct,,
Welbourn,Lincs,53.0754,-0.5588,2008,29-Sep,,
Welbourn,Lincs,53.0754,-0.5588,2009,29-Sep,,
Welbourn,Lincs,53.0754,-0.5588,2010,25-Sep,,
Welbourn,Lincs,53.0754,-0.5588,2011,10-May,,
Welbourn,Lincs,53.0754,-0.5588,2012,10-Jan,331,8.46
Welbourn,Lincs,53.0754,-0.5588,2013,28-Sep,323,10.14
