Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Quidenham,Norfolk,52.4453,0.984,2005,10/1,,10.79
Ragnal,Nottinghamshire,53.2556,-0.7963,2004,10/1,,10.59
Ragnall,Nottinghamshire,53.2556,-0.7963,2005,10/1,314,9.4
Ragnall,Notts,53.2556,-0.7963,2006,10/1,300.33,8.6
Redwrth,Darltn,54.6054,-1.6293,2006,10/1,,9.31
Redwrth,Darltn,54.6054,-1.6293,2007,10/1,,10.72
Rhynd,Perth & Kinross,56.3653,-3.3657,2005,10/1,332,9.72
Rhynd,Perth and Kinross,56.3653,-3.3657,2004,10/1,,11.54
Rhynd,Prth&K,56.3653,-3.3657,2006,10/1,318.67,11.18
Rudston,EYorks,54.0895,-0.3231,2006,10/1,,10.73
Rudston,EYorks,54.0895,-0.3231,2007,10/1,316,8.29
Rudston,EYorks,54.0895,-0.3231,2009,10/10,307,10.2
Saltoun,ELoth,55.8976,-2.8646,2017,29/9,,
Sancton,EYorks,53.842,-0.6317,2012,10/1,,
Sancton,EYorks,53.842,-0.6317,2014,10/11,,
Sandringm,Norfk,52.8269,0.5186,2011,13/10,,
SClims,Cornwl,50.5472,-4.316,2016,20/10,,
SLEAF,LINCS,53.0003,-0.4096,2002,10/1,294,12.06
Sleaford,Lincs.,53.0003,-0.4096,2003,10/1,,8.41
SPALD,LINCS,52.7901,-0.1537,2002,10/1,288,13.52
Spalding,Lincolnshire,52.7901,-0.1537,2004,10/1,,12.71
Spalding,Lincolnshire,52.7901,-0.1537,2005,10/1,,12.46
Spalding,Lincs,52.7901,-0.1537,2006,10/1,295.33,12.12
Spalding,Lincs,52.7901,-0.1537,2007,10/1,295,10.41
Spalding,Lincs,52.7901,-0.1537,2015,10/3,,
Spalding,Lincs,52.7901,-0.1537,2017,10/7,,
Spalding,Lincs.,52.7901,-0.1537,2003,10/1,279,13.95
StBosw,ScBord,55.5708,-2.6475,2010,10/1,,11.82
StBosw,ScBord,55.5708,-2.6475,2012,10/1,,
StBosw,ScBord,55.5708,-2.6475,2013,10/9,,
StBosw,ScBord,55.5708,-2.6475,2014,30/9,,
StBosw,ScBord,55.5708,-2.6475,2015,25/9,,
StBosw,ScBord,55.5708,-2.6475,2016,27/11,,
Stchwrth,Cambs,52.1992,0.3994,2010,14/10,,5.46
Stchwrth,Cambs,52.1992,0.3994,2011,21/10,,
Stchwrth,Cambs,52.1992,0.3994,2012,10/1,,
Stowmarket,Suffolk,52.1889,0.9977,2005,10/1,,8.6
Stowmrkt,Sufflk,52.1889,0.9977,2013,17/10,,
Swindon,Wilts.,51.5558,-1.7797,2003,10/1,,11.19
Swindon,Wilts.,51.5558,-1.7797,2004,10/1,312,13.55
T'FORD,SHROPS,52.6784,-2.4453,2002,10/1,315,13.81
TADC'R,N YRKS,53.8836,-1.2609,2002,10/1,304,11.87
Tadcaster,N Yorks.,53.8836,-1.2609,2003,10/1,304,12.41
Telford,Shrops,52.6784,-2.4453,2006,10/1,305,10.21
Telford,Shrops,52.6784,-2.4453,2007,10/1,,10.31
Telford,Shrops.,52.6784,-2.4453,2003,10/1,,10.95
Telford,Shropshire,52.6784,-2.4453,2005,10/1,314,9.89
Thaxted,Essex,51.9533,0.3446,2016,10/9,,
Thaxted,Essex,51.9533,0.3446,2017,10/8,,
Thwing,EYorks,54.1158,-0.3903,2008,10/1,,10.05
Tibthorpe,EYorks,53.9836,-0.5368,2016,10/3,,
Todngton,Gloucs,51.9485,-0.5324,2006,10/1,,10.95
TRawstn,Dorset,50.8575,-2.0897,2006,10/1,281,10.33
